wooi,woi
ttp,tetap
yg,yang
ch,sih
d,di
psangin,pasangin
ma,sama
sm,sama
sma,sama
ga,tidak
nggak,tidak
gak,tidak
gk,tidak
gx,tidak
gag,tidak
ngg,tidak
tidak,tidak
ngga,tidak
kgk,tidak
haddeeh,aduh
aduhhh,aduh
aduhh,aduh
ni,ini
nie,ini
sinet,sinetron
trz,terus
trs,terus
muluk,terus
byk,banyak
bnyk,banyak
baxk,banyak
bnyak,banyak
buaannnnyyyyaaakkkkk,banyak
hayalanxn,hayalannya
mantab,mantap
cihuy,mantap
mantaf,mantap
klopp,mantap
wk,lucu
hehee,lucu
haha,lucu
hhe,lucu
wkwkwk,lucu
kwkwk,lucu
hahaha,lucu
wkwkwkwkw,lucu
hahah,lucu
hahaaa,lucu
lucuu,lucu
wkwk,lucu
pedeut,lucu
hahhahaha,lucu
klo,kalau
kalo,kalau
klo,kalau
acarane,acara
acra,acara
krn,karena
blm,belum
lht,lihat
liat,lihat
mb,mbak
mba,mbak
chantik,cantik
tuuhh,cantik
jd,jadi
jdi,jadi
adlh,adalah
ad,ada
sm,sama
tmn,teman
cwe,cewek
critax,ceritanya
baruy,barunya
sebntar,sebentar
sbntar,sebentar
n,dan
karna,karena
mlm,malam
kemalman,kemalaman
pengen,ingin
pingin,ingin
ngelucu,melucu
tuh,itu
bgt,banget
pisan,banget
bngt,banget
binggo,banget
bangetz,banget
mewekx,terharu
ajah,saja
ajha,saja
aja,saja
aj,saja
smoga,semoga
smpek,sampai
ampe,sampai
pling,paling
sukai,suka
suka,suka
like,suka
love,suka
dimnna,dimana
dimna,dimana
brcnda,bercanda
breng,bareng
abis,habis
bs,bisa
emang,memang
selsai,selesai
nnton,nonton
nntn,nonton
nontonya,nonton
ntn,nonton
cos,karena
seneng,senang
full,penuh
uy,ya
kang,kakak
kak,kakak
pke,pakai
prnah,pernah
ktinggalan,ketinggalan
lgi,lagi
lg,lagi
eps,episode
ngantuk,kantuk
gntuk,kantuk
udah,sudah
sdh,sudah
udh,sudah
ketiwi,ketawa
ngakak,ketawa
swami,suami
mw,mau
mqin,main
maen,main
gara,akibat
skrg,sekarang
skg,sekarang
skarang,sekarang
sekrang,sekarang
makin,semakin
smakin,semakin
pnjang,panjang
min,admin
dnia,dunia
terblik,terbalik
koq,kok
kox,kok
tyang,tayang
sy,saya
q,saya
i,saya
gw,saya
gue,saya
aku,saya
jga,juga
jg,juga
seruu,seru
seruuu,seru
serru,seru
sipp,seru
tamte,tante
udahan,berakhir
y,nya
nya,nya
favoritku,favorit aku
lovers,favorit aku
drpd,daripada
bosen,bosan
najis,bosan
njs,bosan
bosennn,bosan
bete,bosan
moment,momen
saudra,saudara
td,tadi
best,keren
jlas,jelas
dgn,dengan
dg,dengan
brwarna,berwarna
lbh,lebih
lbih,lebih
dpsngn,dipasangin
msk,masak
tayng,tayang
nyesel,sesal
bosen,bosan
ok,oke
males,malas
ngomong,omong
smpe,sampai
bales,balas
nangis,tangis
bosennya,membosankan
ngebosenin,membosankan
ngebosanin,membosankan
nyebelin,menyebalkan
ngabisin,menghabiskan
kelarnya,selesainya
balikin,kembali
kebanyakan,banyak
genk,geng
kelicikan,licik
aplgi,apalagi
mpok,ibu
bu,ibu
jgn,jangan
jngn,jangan
siaranya,siaran
ngulang,ulang
sbg,sebagai
utk,untuk
buat,untuk
untk,untuk
kepetingannya,kepentingan
memanfaatkan,manfaat
dech,deh
kesel,sebal
punyaa,punya
ojeg,ojek
jln,jalan
sini,kesini
dlm,dalam
rmh,rumah
dirmh,rumah
org,orang
tuany,tuanya
ngacoh,kacau
yaaaa,ya
gajelas,tidak jelas
goblokkkk,bodoh
bapper,baper
gokill,seru
brrat,berat
ati,hati
dngering,dengar
tar,nanti
pokeknye,pokoknya
semoge,semoga
pemenangnye,menang
indosia,indonesia
sponsor,iklan
dunk,dong
donk,dong
kocak,lucu
x,nya
kurang,tidak
jengkel,tidak suka