0,iklan jangan ulang,-1
1,tidak tayang,-1
2,tidak bosan enak tonton tingkat top suka oke,1
3,top mantap lucu,1
4,mantap,1
5,sedih akhir puas,-1
6,kasih teman sabar lucu,1
7,bosan lalu lama selesai jengkel,-1
8,hebat lucu lucu,1
9,top ulang tidak seru nonton,-1
10,tidak sabar ingin,1
11,lucu tidak hina garing,-1
12,seru,1
13,sukses hibur ribu lucu,1
14,seru,1
15,sip,1
16,top keren lucu oke,1
17,tidak lucu lucu,-1
18,bagus rakyat,1
19,top,1
20,senang penuh,1
21,asik mantap,1
22,lucu,1
23,kantuk hilang,1
24,suka tidak ketawa,1
25,ketawa ketawa,1
26,tidak tentu malas malam,-1
27,lama sponsor sebentar sponsor tidak seru sponsor,-1
28,ketawa ekspresi omong keselek camilan,1
29,tayang malam tidak seru,-1
30,hibur,1
31,tayang malem tidak sabar,-1
32,sesal waktu tidak tidak tinggal,1
33,tayang malam kembali tayang jam tidak selesai kantuk,-1
34,top lucu tidak lucu,1
35,akhir lucu,1
36,malam jangan lewat,1
37,muka masam,-1
38,siap seru lucu,1
39,oke,1
40,luar biasa seru keren,1
41,seru seru seru,1
42,pecah malam banjir air mata,1
43,tidak cocok tidak,-1
44,seru sambil istirahat lelah,1
45,oke hibur,1
46,tidak jeda iklan,1
47,jam tayang sebentar tidak asik,-1
48,hayal tidak jelas panjang rumit,-1
49,mantap malam seru jasa habis,1
50,tegang serang seru,1
51,keren,1
52,keren,1
53,balas dendam tidak puas,-1
54,seru suka suka,1
55,haru,1
56,tangis,1
57,sedih,1
58,masuk akal tidak kalah aneh,-1
59,suka canda seru suka,1
60,bosan seru malam bosan,-1
61,bahagia senang senyum senyum,1
62,malam tidak galau tidak malam tidak tayang,-1
63,semalam tidak macet,-1
64,alay bosan tidak laku,-1
65,bosan,-1
66,bosan tidak warna,-1
67,keren bosan,-1
68,tidak tayang,-1
69,keras kelicik naif tidak tidur,-1
70,sebal seru seru iklan penasaran,-1
71,semangat bahagia,1
72,romantis,1
73,lucu lucu,1
74,goyah cinta seru,1
75,seru,1
76,sumpah emosi lama lama malas,-1
77,program favorit,1
78,mantap raja rating turun,1
79,iklan,-1