0,iklan ulang,Tukang Ojek Pengkolan,-1
1,tidak tayang,Tukang Ojek Pengkolan,-1
2,enak tonton tingkat top suka oke,Tukang Ojek Pengkolan,1
3,top mantap lucu,Tukang Ojek Pengkolan,1
4,mantap,Tukang Ojek Pengkolan,1
5,sedih banget akhir puas cantik,Tukang Ojek Pengkolan,-1
6,tidak seru,Tukang Ojek Pengkolan,-1
7,bosan lama banget selesai jengkel,Tukang Ojek Pengkolan,-1
8,hebat lucu lucu,Tukang Ojek Pengkolan,1
9,top ulang tidak seru nonton,Tukang Ojek Pengkolan,-1
10,iklan,Tukang Ojek Pengkolan,-1
11,lucu tidak hina garing banget,Tukang Ojek Pengkolan,-1
12,seru,Tukang Ojek Pengkolan,1
13,sukses hibur ribu lucu,Tukang Ojek Pengkolan,1
14,seru banget,Tukang Ojek Pengkolan,1
15,seru banget,Tukang Ojek Pengkolan,1
16,suka tidak seru,Tukang Ojek Pengkolan,-1
17,tidak lucu lucu,Tukang Ojek Pengkolan,-1
18,bagus rakyat,Tukang Ojek Pengkolan,1
19,top,Tukang Ojek Pengkolan,1
20,lama tidak top tidak sabar nunggu balik,Tukang Ojek Pengkolan,-1
21,lama duras lain sebentar lama nunggu malam,Tukang Ojek Pengkolan,-1
22,ingin,Tukang Ojek Pengkolan,1
23,jam tayang tambah,Tukang Ojek Pengkolan,1
24,tidak sabar ingin,Tukang Ojek Pengkolan,1
25,film top lucu,Tukang Ojek Pengkolan,1
26,mantap top suasana sore tambah ceria top teman kopi serasa,Tukang Ojek Pengkolan,1
27,malam tayang,Tukang Ojek Pengkolan,-1
28,keren top sambil lucu sukses,Tukang Ojek Pengkolan,1
29,senang top masuk selamat baik helm baik,Tukang Ojek Pengkolan,1
30,film top lucu,Tukang Ojek Pengkolan,1
31,seru,Tukang Ojek Pengkolan,1
32,top top,Tukang Ojek Pengkolan,1
33,seru sinetron,Tukang Ojek Pengkolan,1
34,seru tinggal,Tukang Ojek Pengkolan,1
35,sangat hibur,Tukang Ojek Pengkolan,1
36,iklan lama iklan,Dunia Terbalik,-1
37,asik mantap,Dunia Terbalik,1
38,cantik banget lucu,Dunia Terbalik,1
39,kantuk hilang,Dunia Terbalik,1
40,emak lebay tangis,Dunia Terbalik,-1
41,ketawa ketawa,Dunia Terbalik,1
42,tidak tentu malas malam,Dunia Terbalik,-1
43,lama banget sponsor sebentar iklan tidak seru iklan,Dunia Terbalik,-1
44,ketawa ekspresi omong keselek camilan,Dunia Terbalik,1
45,tayang malam tidak seru,Dunia Terbalik,-1
46,hibur,Dunia Terbalik,1
47,tayang malem tidak sabar,Dunia Terbalik,-1
48,nger iklan bet,Dunia Terbalik,-1
49,tayang malam kembali tayang jam tidak selesai kantuk,Dunia Terbalik,-1
50,top lucu tidak lucu,Dunia Terbalik,1
51,akhir lucu,Dunia Terbalik,1
52,malam iklan banget,Dunia Terbalik,-1
53,muka masam,Dunia Terbalik,-1
54,siap seru lucu,Dunia Terbalik,1
55,oke banget,Dunia Terbalik,1
56,saat santai tidak sabar seru,Dunia Terbalik,1
57,sebentar film suka,Dunia Terbalik,1
58,waduh jam tayang malem,Dunia Terbalik,-1
59,oke,Dunia Terbalik,1
60,serius banget om dngerin mak suha lucu,Dunia Terbalik,1
61,mantap lucu,Dunia Terbalik,1
62,mantap ting nyah lucu,Dunia Terbalik,1
63,enaaaaak bangeett,Dunia Terbalik,1
64,lucu semua moga sukses,Dunia Terbalik,1
65,pd mkn hati baik minum smbil,Dunia Terbalik,1
66,lucu banget santai ketawa tidak bosan,Dunia Terbalik,1
67,pejuang cinta mantep,Dunia Terbalik,1
68,lucu banget ketawa lucu,Dunia Terbalik,1
69,mantap hibur suka,Dunia Terbalik,1
70,lama banget sponsor sebentar iklan tidak seru iklan,Dunia Terbalik,-1
71,enak seru,Dunia Terbalik,1
72,luar seru keren,Anak Langit,1
73,seru banget seru seru,Anak Langit,1
74,pecah malam banjir air mata,Anak Langit,1
75,tidak cocok tidak,Anak Langit,-1
76,seru sambil istirahat lelah,Anak Langit,1
77,malam malam,Anak Langit,-1
78,suka ulang iklan panjang kantuk,Anak Langit,-1
79,jam tayang sebentar tidak asik,Anak Langit,-1
80,hayal tidak panjang rumit,Anak Langit,-1
81,mantap malam seru jasa habis,Anak Langit,1
82,tegang serang seru banget,Anak Langit,1
83,keren,Anak Langit,1
84,keren banget,Anak Langit,1
85,balas dendam tidak puas,Anak Langit,-1
86,seru banget suka suka,Anak Langit,1
87,malas banget lebay,Anak Langit,-1
88,tidak manfaat penting edukasi tidak baik,Anak Langit,-1
89,iklan,Anak Langit,-1
90,akal tidak kalah aneh,Anak Langit,-1
91,suka canda seru suka,Anak Langit,1
92,pemain ganteng ganteng cantik cantik,Anak langit,1
93,lebay banget akting tidak rasa baper sekali cantik,Anak langit,-1
94,keren utama,Anak langit,1
95,mantap,Anak langit,1
96,seru,Anak langit,1
97,mantap,Anak langit,1
98,suka,Anak langit,1
99,keren semangat,Anak langit,1
100,tidak suka alay,Anak langit,-1
101,keren banget,Anak langit,1
102,malas nonton jarang bosan banget,Anak langit,-1
103,urut alur datar mudah tebak,Anak langit,-1
104,kren lah pokok,Anak langit,1
105,keren top,Anak langit,1
106,seru sekali waktu baku pukul,Anak langit,1
107,sangat seru balap,Anak langit,1
108,bosan seru malam bosan,Berkah Cinta,-1
109,bahagia senang senyum senyum,Berkah Cinta,1
110,malam tidak galau tidak banget malam tidak tayang,Berkah Cinta,-1
111,semalam tidak macet,Berkah Cinta,-1
112,alay bosan tidak laku,Berkah Cinta,-1
113,bosan banget,Berkah Cinta,-1
114,seru banget,Berkah Cinta,1
115,top,Berkah Cinta,1
116,tidak tayang,Berkah Cinta,-1
117,keras licik naif tidak tidur,Berkah Cinta,-1
118,sebal banget seru seru iklan penasaran,Berkah Cinta,-1
119,semangat bahagia,Berkah Cinta,1
120,romantis,Berkah Cinta,1
121,lucu lucu,Berkah Cinta,1
122,goyah cinta seru,Berkah Cinta,1
123,seru,Berkah Cinta,1
124,sumpah emosi lama lama malas,Berkah Cinta,-1
125,program favorit,Berkah Cinta,1
126,mantap raja rating turun,Berkah Cinta,1
127,iklan,Berkah Cinta,-1
128,ada gawat darurat sempat iklan,Berkah Cinta,-1
129,greget gemes rintang banget,Berkah Cinta,1
130,tk bobot lama tinggal tua,Berkah Cinta,-1
131,ert favorit,Berkah Cinta,1
132,kacau,Berkah Cinta,-1
133,tunggutunggu baper gemes,Berkah Cinta,1
134,bosan gajelass,Berkah Cinta,-1
135,bodoh tidak,Berkah Cinta,-1
136,seru banget,Berkah Cinta,1
137,seru nehhh ert ni,Berkah Cinta,1
138,pecinta,Berkah Cinta,1
139,oke,Berkah Cinta,1
140,senang sekali malam baper,Berkah Cinta,1
141,seru bkin semua baper at,Berkah Cinta,1
142,film sayang,Berkah Cinta,1
143,malas tidak seru bgin mah nunggu satu,Berkah Cinta,-1